Accession	Submission	Status	Updated	Published	Received	Type	Center	Visibility	Alias	Experiment	Sample	Study	Loaded	Spots	Bases	Md5sum	BioSample	BioProject	ReplacedBy
SRR1970395	SRA258362	live	2021-03-21T03:48:28Z	2015-08-24T13:36:08Z	2015-04-13T00:06:09Z	RUN	GEO	public	GSM1656054_r1	SRX992192	SRS906961	SRP057087	1	30137337	1567141524	59cbc8111193dc577b8b1cffd53312e8	SAMN03480594	PRJNA280902	-
SRR1970420	SRA258362	live	2021-03-23T04:23:23Z	2015-08-24T13:36:08Z	2015-04-13T00:06:11Z	RUN	GEO	public	GSM1656079_r1	SRX992217	SRS906962	SRP057087	1	29398297	1528711444	3a926695fdbffb06c59b686edee83ba8	SAMN03480619	PRJNA280902	-
SRR1970419	SRA258362	live	2021-04-04T06:42:10Z	2015-08-24T13:36:08Z	2015-04-13T00:06:11Z	RUN	GEO	public	GSM1656078_r1	SRX992216	SRS906963	SRP057087	1	27842149	1447791748	9ec78bcc5fbc3cb3ae14f9121718ce6a	SAMN03480618	PRJNA280902	-
SRR1970418	SRA258362	live	2021-03-17T06:06:19Z	2015-08-24T13:36:08Z	2015-04-13T00:06:11Z	RUN	GEO	public	GSM1656077_r1	SRX992215	SRS906964	SRP057087	1	28392390	1476404280	04b8d5f98e42b6f688a592d565852a11	SAMN03480617	PRJNA280902	-
SRR1970417	SRA258362	live	2021-03-21T19:48:57Z	2015-08-24T13:36:08Z	2015-04-13T00:06:11Z	RUN	GEO	public	GSM1656076_r1	SRX992214	SRS906965	SRP057087	1	29544075	1536291900	8eac532fcacdb8b165725d7162d2e4a7	SAMN03480616	PRJNA280902	-
SRR1970416	SRA258362	live	2021-02-20T03:33:04Z	2015-08-24T13:36:08Z	2015-04-13T00:06:11Z	RUN	GEO	public	GSM1656075_r1	SRX992213	SRS906966	SRP057087	1	31226959	1623801868	b8c8077de03271a30625cd89b93d0775	SAMN03480615	PRJNA280902	-
SRR1970415	SRA258362	live	2021-03-18T21:12:42Z	2015-08-24T13:36:08Z	2015-04-13T00:06:11Z	RUN	GEO	public	GSM1656074_r1	SRX992212	SRS906967	SRP057087	1	30748051	1598898652	d54dcad64a75c35c9287ab35e1ab8215	SAMN03480614	PRJNA280902	-
SRR1970414	SRA258362	live	2021-02-26T22:34:49Z	2015-08-24T13:36:08Z	2015-04-13T00:06:11Z	RUN	GEO	public	GSM1656073_r1	SRX992211	SRS906968	SRP057087	1	30240616	1572512032	cb3703a525ee58c7735f8c359bf7878a	SAMN03480613	PRJNA280902	-
SRR1970413	SRA258362	live	2021-03-09T06:25:22Z	2015-08-24T13:36:08Z	2015-04-13T00:06:11Z	RUN	GEO	public	GSM1656072_r1	SRX992210	SRS906969	SRP057087	1	42167406	2192705112	0361b3419e137b460442ef814d3e4b83	SAMN03480612	PRJNA280902	-
SRR1970412	SRA258362	live	2021-03-27T04:00:04Z	2015-08-24T13:36:08Z	2015-04-13T00:06:11Z	RUN	GEO	public	GSM1656071_r1	SRX992209	SRS906970	SRP057087	1	30978957	1579926807	6800186447cbe6dce28d5dc39e00f645	SAMN03480611	PRJNA280902	-
SRR1970411	SRA258362	live	2021-03-26T06:00:19Z	2015-08-24T13:36:08Z	2015-04-13T00:06:10Z	RUN	GEO	public	GSM1656070_r1	SRX992208	SRS906971	SRP057087	1	25169152	1283626752	2a853a56ec35eb1c2bf2280205ecac3b	SAMN03480610	PRJNA280902	-
SRR1970410	SRA258362	live	2021-04-01T22:28:33Z	2015-08-24T13:36:08Z	2015-04-13T00:06:10Z	RUN	GEO	public	GSM1656069_r1	SRX992207	SRS906972	SRP057087	1	25806946	1316154246	98e1141368ef6d21bf082ad0850104dd	SAMN03480609	PRJNA280902	-
